Feature ID,Domain,Phylum,Class,Order,Family,Genus,Species
4552af3e905206840cf8b67bcaf2693f,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,unassigned,unassigned
aba7d253a488662994f7428412e11dca,Bacteria,Planctomycetota,vadinHA49,vadinHA49,vadinHA49,vadinHA49,uncultured_Planctomycetales
0a41db17286e5c619955fbb023d8c13a,Bacteria,Proteobacteria,unassigned,unassigned,unassigned,unassigned,unassigned
c0d5a46a428cc5ca8991427ac0acd86b,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
b69d10eb69e46801ca547a1d05eb02c3,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,unassigned
c2a5c96b7ca513bb83969342185983fb,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,unassigned
7113d390b44e5e0361745cfd63725432,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,uncultured_bacterium
084ea1e5f5508885d9092fb141eec4ee,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,IMCC26207,uncultured_bacterium
6f15188049ffb18df962a5cb96b0cbd9,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
6003b11dd85eb916c6eccecc7c50a7b9,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,JG30-KF-CM45,uncultured_soil
65f780fa18637b0be1c6f624f7825b6e,Bacteria,Firmicutes,unassigned,unassigned,unassigned,unassigned,unassigned
ad145b5c8b7c9b7ffb1c647fa0da640d,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured,uncultured_bacterium
